Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Soybeans,East,Peat,Organic,Compost,18.13,11.38,206.32,541.6,322,2025-05-05,2025-09-24
Rice,East,Clay,Conservation,Potassium-based,334.24,8.04,2687.29,538.5,102,2025-03-10,2025-08-05
Wheat,South,Peat,Organic,Compost,305.2,9.29,2835.31,207.1,1359,2025-03-16,2025-08-21
Rice,Midwest,Loam,Conventional,Phosphorus-based,89.88,9.95,894.31,880.3,4423,2025-04-06,2025-09-04
Soybeans,West,Loam,Conservation,None,124.57,10.37,1291.79,1025.4,4694,2025-05-18,2025-08-19
Wheat,West,Loam,Conventional,Compost,21.62,5.65,122.15,346.6,2668,2025-05-16,2025-11-07
Rice,East,Loam,Mixed,Nitrogen-based,419.12,2.04,855.0,359.7,1985,2025-05-16,2025-08-31
Rice,South,Loam,Conservation,Potassium-based,487.6,5.72,2789.07,990.1,1399,2025-04-01,2025-09-18
Soybeans,West,Loam,Conservation,Phosphorus-based,76.38,8.57,654.58,816.3,2438,2025-06-17,2025-11-09
Wheat,East,Clay,Conservation,Nitrogen-based,123.42,6.23,768.91,244.9,1176,2025-04-16,2025-08-07
Soybeans,Midwest,Silt,Conservation,Phosphorus-based,435.52,9.36,4076.47,822.5,3858,2025-06-18,2025-11-20
Wheat,West,Peat,Mixed,None,463.97,5.25,2435.84,508.9,3281,2025-05-11,2025-08-21
Barley,East,Loam,Conservation,Potassium-based,215.62,8.16,1759.46,568.7,4910,2025-04-12,2025-09-10
Corn,East,Clay,Organic,Potassium-based,34.81,3.46,120.44,969.7,1047,2025-05-21,2025-10-11
Corn,North,Clay,Conservation,None,29.3,9.37,274.54,1010.9,3838,2025-06-28,2025-10-10
Corn,Midwest,Clay,Mixed,Potassium-based,291.24,7.23,2105.67,600.4,2831,2025-04-05,2025-09-10
Soybeans,North,Silt,Conservation,Compost,202.52,3.64,737.17,1147.2,4107,2025-03-26,2025-06-26
Barley,South,Peat,Organic,Phosphorus-based,24.04,4.57,109.86,606.5,969,2025-03-10,2025-07-14
Wheat,North,Silt,Mixed,Nitrogen-based,295.79,9.36,2768.59,971.8,193,2025-03-31,2025-08-04
Rice,North,Sandy,Mixed,None,15.54,6.57,102.1,683.9,3087,2025-06-05,2025-09-05
Wheat,West,Clay,Organic,Compost,395.81,3.77,1492.2,1097.5,4755,2025-03-29,2025-08-28
Rice,East,Sandy,Organic,Nitrogen-based,160.15,11.66,1867.35,1107.8,1875,2025-03-05,2025-07-07
Wheat,Midwest,Loam,Organic,Nitrogen-based,29.73,9.01,267.87,287.4,2360,2025-05-16,2025-10-04
Barley,North,Loam,Organic,None,298.29,11.55,3445.25,1136.5,535,2025-03-01,2025-08-24
Rice,Midwest,Silt,Organic,Compost,204.87,5.98,1225.12,1025.5,4400,2025-05-26,2025-09-20
Soybeans,North,Peat,Mixed,Nitrogen-based,487.16,6.49,3161.67,991.3,3244,2025-06-12,2025-09-27
Wheat,South,Sandy,Mixed,Nitrogen-based,276.66,10.93,3023.89,400.9,3687,2025-03-03,2025-07-06
Wheat,North,Peat,Conservation,Compost,144.87,7.01,1015.54,1005.1,176,2025-05-06,2025-09-05
Rice,West,Silt,Conservation,Potassium-based,357.63,8.93,3193.64,1050.1,915,2025-05-10,2025-10-10
Soybeans,East,Loam,Conventional,Nitrogen-based,143.03,4.15,593.57,489.2,867,2025-06-08,2025-10-01
Soybeans,South,Peat,Conservation,Phosphorus-based,453.08,6.19,2804.57,1152.3,3785,2025-04-04,2025-08-19
Barley,North,Peat,Conservation,Compost,193.61,2.8,542.11,249.9,205,2025-03-15,2025-07-22
Soybeans,Midwest,Loam,Organic,Nitrogen-based,279.44,3.66,1022.75,349.9,4016,2025-06-12,2025-09-26
Soybeans,South,Sandy,Organic,None,34.78,1.51,52.52,737.6,2973,2025-05-06,2025-09-12
Soybeans,South,Loam,Conservation,Phosphorus-based,218.8,1.91,417.91,775.8,3446,2025-06-01,2025-09-05
Corn,North,Peat,Conventional,Nitrogen-based,417.86,11.76,4914.03,845.2,3248,2025-03-30,2025-08-23
Barley,South,Sandy,Organic,Phosphorus-based,404.77,4.04,1635.27,217.0,3248,2025-06-11,2025-09-16
Wheat,Midwest,Sandy,Conservation,Phosphorus-based,119.92,8.46,1014.52,1160.4,1565,2025-05-21,2025-10-13
Rice,South,Loam,Conservation,Potassium-based,120.78,10.31,1245.24,244.6,2687,2025-05-14,2025-09-11
Wheat,Midwest,Peat,Mixed,Phosphorus-based,410.48,7.28,2988.29,343.1,344,2025-04-12,2025-09-07
Barley,North,Silt,Conventional,Potassium-based,465.9,3.11,1448.95,214.0,2725,2025-06-21,2025-11-15
Rice,East,Peat,Mixed,Compost,56.73,9.15,519.08,766.9,3949,2025-04-29,2025-08-08
Barley,South,Clay,Conventional,Potassium-based,230.53,7.8,1798.13,1132.3,1505,2025-06-10,2025-10-25
Soybeans,East,Silt,Organic,None,175.35,9.18,1609.71,865.9,1081,2025-04-09,2025-08-07
Rice,Midwest,Sandy,Conventional,Nitrogen-based,436.64,9.58,4183.01,1022.7,3908,2025-05-04,2025-10-23
Soybeans,South,Silt,Conservation,Compost,50.93,11.74,597.92,213.3,241,2025-03-29,2025-08-28
Wheat,West,Sandy,Conservation,Compost,113.45,7.52,853.14,742.0,992,2025-05-13,2025-10-23
Wheat,East,Sandy,Conventional,None,378.71,5.09,1927.63,659.6,2499,2025-05-31,2025-10-06
Rice,South,Silt,Conventional,Potassium-based,35.13,8.31,291.93,699.0,4740,2025-06-29,2025-12-11
Rice,East,Sandy,Conventional,Nitrogen-based,251.34,2.22,557.97,272.2,3060,2025-06-03,2025-09-20
Barley,South,Sandy,Mixed,Potassium-based,226.63,10.92,2474.8,884.4,2299,2025-03-19,2025-08-03
Barley,North,Clay,Conventional,Phosphorus-based,173.86,2.75,478.12,703.2,1569,2025-03-03,2025-08-10
Soybeans,East,Peat,Organic,Potassium-based,203.34,4.94,1004.5,965.1,2800,2025-04-05,2025-08-26
Rice,West,Peat,Mixed,Compost,269.67,10.07,2715.58,685.3,3105,2025-04-12,2025-09-26
Wheat,West,Clay,Mixed,Nitrogen-based,89.07,7.77,692.07,349.4,4958,2025-03-15,2025-08-26
Barley,Midwest,Silt,Conventional,Potassium-based,290.28,5.63,1634.28,848.3,3474,2025-06-05,2025-11-12
Barley,South,Loam,Organic,Nitrogen-based,404.66,6.47,2618.15,372.4,4819,2025-04-10,2025-08-06
Wheat,East,Loam,Mixed,Nitrogen-based,382.48,10.47,4004.57,1072.4,755,2025-06-15,2025-11-25
Barley,Midwest,Loam,Conservation,Phosphorus-based,85.41,5.07,433.03,813.1,2868,2025-06-23,2025-12-02
Soybeans,East,Clay,Mixed,Phosphorus-based,83.13,10.63,883.67,357.2,142,2025-06-17,2025-11-01
Rice,South,Clay,Conventional,Compost,141.41,2.43,343.63,1162.3,2411,2025-05-29,2025-11-08
Wheat,West,Sandy,Organic,None,186.93,9.66,1805.74,718.4,1760,2025-05-19,2025-11-07
Rice,North,Loam,Conventional,Nitrogen-based,210.14,10.4,2185.46,272.9,4791,2025-04-05,2025-08-28
Barley,West,Silt,Conservation,None,343.05,3.41,1169.8,826.8,2324,2025-06-05,2025-09-19
Barley,Midwest,Silt,Conservation,Compost,37.77,6.02,227.38,453.2,2210,2025-05-23,2025-08-29
Wheat,North,Loam,Conservation,Nitrogen-based,26.99,3.24,87.45,1003.7,1057,2025-05-16,2025-09-16
Soybeans,Midwest,Loam,Conventional,Nitrogen-based,202.04,8.92,1802.2,1017.8,660,2025-04-02,2025-08-14
Corn,South,Loam,Mixed,None,351.61,7.12,2503.46,1178.9,1430,2025-03-05,2025-08-29
Wheat,North,Clay,Conventional,Potassium-based,104.78,8.17,856.05,701.9,1412,2025-06-09,2025-09-15
Corn,Midwest,Clay,Organic,Phosphorus-based,324.34,3.56,1154.65,655.0,1921,2025-05-17,2025-08-21
Corn,South,Clay,Mixed,Potassium-based,137.32,3.72,510.83,953.5,3102,2025-05-30,2025-09-12
Soybeans,West,Peat,Conservation,None,444.18,1.94,861.71,332.5,3503,2025-05-26,2025-09-11
Corn,South,Silt,Conventional,Phosphorus-based,448.89,4.88,2190.58,746.9,2751,2025-03-14,2025-06-17
Corn,East,Silt,Conservation,Potassium-based,155.67,7.38,1148.84,746.2,1914,2025-06-12,2025-09-20
Soybeans,South,Sandy,Conservation,Phosphorus-based,122.7,10.51,1289.58,289.5,1841,2025-05-07,2025-10-19
Corn,South,Clay,Organic,Nitrogen-based,211.54,8.5,1798.09,618.0,4801,2025-06-11,2025-11-08
Corn,East,Peat,Mixed,Potassium-based,127.86,6.07,776.11,1053.3,3908,2025-06-24,2025-11-02
Corn,Midwest,Peat,Organic,Phosphorus-based,339.47,11.51,3907.3,1056.2,2977,2025-05-22,2025-09-01
Wheat,Midwest,Silt,Organic,Phosphorus-based,414.77,9.05,3753.67,299.2,3370,2025-04-16,2025-07-26
Wheat,South,Clay,Organic,Phosphorus-based,339.82,11.27,3829.77,290.7,4183,2025-04-23,2025-10-14
Wheat,East,Sandy,Conservation,Potassium-based,413.93,7.04,2914.07,462.7,845,2025-03-04,2025-08-14
Soybeans,East,Clay,Organic,Compost,204.53,4.22,863.12,1074.8,657,2025-06-02,2025-09-19
Barley,West,Loam,Organic,Potassium-based,86.6,2.05,177.53,328.9,3401,2025-05-22,2025-10-08
Corn,Midwest,Clay,Mixed,None,371.6,9.12,3388.99,920.0,1041,2025-06-03,2025-10-06
Corn,North,Loam,Mixed,Potassium-based,186.63,2.77,516.97,301.2,4123,2025-06-03,2025-11-27
Soybeans,Midwest,Loam,Organic,Phosphorus-based,338.92,4.68,1586.15,823.1,2396,2025-03-09,2025-08-14
Corn,Midwest,Sandy,Mixed,Nitrogen-based,142.62,7.09,1011.18,556.1,1039,2025-04-22,2025-08-26
Wheat,West,Silt,Mixed,Potassium-based,49.8,7.43,370.01,988.9,1710,2025-05-16,2025-08-25
Barley,North,Clay,Organic,Potassium-based,496.37,7.81,3876.65,433.7,1825,2025-05-17,2025-09-23
Rice,West,Loam,Conservation,Phosphorus-based,86.54,3.25,281.26,839.2,1084,2025-06-27,2025-11-17
Corn,North,Clay,Organic,Nitrogen-based,494.33,5.49,2713.87,435.7,1687,2025-04-29,2025-07-29
Wheat,South,Silt,Mixed,Nitrogen-based,488.87,7.98,3901.18,913.7,4121,2025-04-15,2025-09-01
Rice,North,Silt,Conservation,None,398.97,11.68,4659.97,1073.7,1436,2025-04-23,2025-08-31
Barley,West,Peat,Conventional,Potassium-based,333.12,9.14,3044.72,326.8,3237,2025-05-13,2025-09-24
Rice,Midwest,Silt,Conservation,Nitrogen-based,293.13,11.19,3280.12,1066.6,761,2025-06-20,2025-09-26
Wheat,North,Sandy,Mixed,Nitrogen-based,434.39,9.5,4126.7,793.6,132,2025-06-03,2025-11-01
Rice,North,Loam,Conservation,Compost,151.83,7.71,1170.61,327.1,3514,2025-04-06,2025-09-28
Soybeans,East,Peat,Organic,Compost,239.16,3.52,841.84,627.5,1256,2025-03-23,2025-08-06
Rice,Midwest,Sandy,Conventional,Nitrogen-based,313.5,8.5,2664.75,360.9,3226,2025-03-27,2025-06-29
Corn,South,Clay,Conventional,None,211.48,8.05,1702.41,900.3,160,2025-05-09,2025-10-21
Corn,West,Loam,Conventional,Nitrogen-based,219.47,7.83,1718.45,958.9,4028,2025-05-29,2025-08-27
Soybeans,South,Silt,Mixed,Phosphorus-based,171.84,6.64,1141.02,305.8,1643,2025-05-05,2025-09-15
Wheat,Midwest,Loam,Mixed,Potassium-based,286.47,7.05,2019.61,706.1,371,2025-06-17,2025-10-06
Corn,North,Clay,Conventional,None,426.78,5.01,2138.17,1014.6,4176,2025-04-30,2025-09-04
Barley,North,Peat,Conservation,Phosphorus-based,108.75,6.95,755.81,1136.2,3488,2025-05-16,2025-09-01
Corn,Midwest,Peat,Conventional,None,467.87,3.57,1670.3,713.5,2852,2025-04-20,2025-10-06
Corn,North,Peat,Conservation,Phosphorus-based,347.65,9.95,3459.12,1150.3,2809,2025-04-19,2025-08-17
Wheat,North,Silt,Conservation,Potassium-based,413.4,3.45,1426.23,735.7,1254,2025-03-19,2025-08-22
Rice,North,Sandy,Mixed,Potassium-based,282.53,2.39,675.25,594.2,4505,2025-03-01,2025-08-24
Corn,West,Sandy,Conservation,Compost,391.96,6.08,2383.12,1048.2,3953,2025-04-09,2025-08-18
Soybeans,West,Loam,Conventional,Phosphorus-based,17.94,8.41,150.88,693.0,1845,2025-04-01,2025-09-19
Rice,East,Silt,Mixed,Compost,411.01,6.1,2507.16,671.9,3532,2025-03-22,2025-07-15
Barley,South,Peat,Organic,Phosphorus-based,29.67,4.41,130.84,690.3,437,2025-06-20,2025-09-30
Wheat,Midwest,Peat,Organic,Compost,446.06,7.36,3283.0,1046.8,109,2025-06-01,2025-10-26
Barley,Midwest,Clay,Mixed,Potassium-based,496.06,5.14,2549.75,1031.9,4244,2025-05-05,2025-08-20
Rice,Midwest,Clay,Conventional,None,154.09,11.3,1741.22,603.5,830,2025-04-09,2025-09-12
Rice,East,Peat,Organic,Compost,113.06,11.19,1265.14,533.3,4990,2025-04-07,2025-09-30
Rice,West,Peat,Organic,Phosphorus-based,385.03,6.77,2606.65,691.9,1748,2025-04-17,2025-07-18
Barley,East,Silt,Conservation,Phosphorus-based,133.98,4.94,661.86,772.8,4328,2025-04-24,2025-09-15
Rice,Midwest,Sandy,Conservation,Potassium-based,434.13,9.24,4011.36,438.3,3754,2025-05-14,2025-11-08
Barley,South,Clay,Conventional,Phosphorus-based,60.39,1.89,114.14,994.0,2230,2025-05-20,2025-10-14
Rice,North,Sandy,Mixed,Nitrogen-based,71.72,6.49,465.46,686.5,4571,2025-04-24,2025-09-23
Soybeans,West,Silt,Conventional,None,489.78,5.03,2463.59,534.0,2496,2025-04-20,2025-09-08
Rice,West,Peat,Mixed,Compost,340.18,11.17,3799.81,306.8,4466,2025-06-15,2025-12-10
Barley,East,Sandy,Organic,None,424.97,1.63,692.7,438.8,1606,2025-04-29,2025-08-20
Corn,West,Peat,Conservation,Potassium-based,168.92,7.3,1233.12,1149.3,2258,2025-03-08,2025-08-16
Rice,Midwest,Peat,Conventional,Compost,341.48,9.28,3168.93,505.1,3016,2025-05-25,2025-08-31
Corn,Midwest,Loam,Conventional,Compost,301.18,6.59,1984.78,368.9,4271,2025-05-07,2025-09-10
Soybeans,East,Sandy,Mixed,Nitrogen-based,305.54,2.4,733.3,660.7,3329,2025-05-14,2025-11-02
Wheat,Midwest,Sandy,Mixed,Potassium-based,344.44,11.71,4033.39,507.1,3703,2025-05-11,2025-09-30
Soybeans,South,Peat,Conventional,Phosphorus-based,291.93,6.94,2025.99,235.2,1766,2025-03-09,2025-08-25
Rice,East,Silt,Mixed,Nitrogen-based,220.24,7.95,1750.91,523.1,4524,2025-05-29,2025-09-19
Corn,South,Loam,Conventional,Nitrogen-based,145.2,3.98,577.9,744.1,4236,2025-03-02,2025-06-20
Corn,North,Peat,Conventional,None,386.6,6.58,2543.83,751.7,3069,2025-05-19,2025-09-25
Barley,South,Clay,Conventional,None,120.87,6.01,726.43,556.6,2789,2025-06-03,2025-11-01
Corn,North,Clay,Organic,None,349.25,2.29,799.78,647.3,2426,2025-05-09,2025-10-15
Barley,North,Loam,Mixed,Nitrogen-based,124.33,2.61,324.5,1165.5,2910,2025-06-25,2025-11-30
Wheat,South,Silt,Conservation,Phosphorus-based,316.41,10.29,3255.86,577.3,2616,2025-05-24,2025-09-04
Rice,East,Peat,Conservation,Compost,376.07,4.02,1511.8,458.2,3571,2025-05-29,2025-10-07
Barley,Midwest,Sandy,Mixed,None,117.17,3.55,415.95,443.5,112,2025-04-28,2025-09-14
Wheat,Midwest,Loam,Conventional,Phosphorus-based,39.37,6.8,267.72,657.8,3070,2025-03-19,2025-08-16
Corn,North,Silt,Conservation,Potassium-based,74.18,9.57,709.9,959.5,3721,2025-03-28,2025-06-29
Corn,North,Sandy,Conservation,None,306.94,2.15,659.92,406.0,3783,2025-05-11,2025-10-19
Wheat,East,Clay,Mixed,Compost,426.23,7.56,3222.3,909.3,3573,2025-03-14,2025-09-07
Corn,West,Clay,Conservation,Potassium-based,32.05,2.75,88.14,221.1,3222,2025-03-24,2025-09-04
Wheat,South,Sandy,Conventional,Potassium-based,369.73,1.88,695.09,618.9,3564,2025-06-20,2025-10-04
Barley,North,Loam,Mixed,Compost,177.25,2.05,363.36,975.9,752,2025-04-13,2025-10-04
Barley,Midwest,Clay,Conventional,None,244.48,10.26,2508.36,538.7,720,2025-06-09,2025-11-02
Wheat,East,Peat,Conservation,Nitrogen-based,465.14,2.74,1274.48,763.7,3890,2025-04-25,2025-10-21
Barley,South,Sandy,Conservation,Compost,172.67,1.97,340.16,405.0,1745,2025-05-29,2025-10-13
Barley,East,Sandy,Conventional,Compost,238.02,6.1,1451.92,942.0,2343,2025-06-03,2025-10-14
Barley,South,Clay,Organic,Compost,16.7,10.36,173.01,252.3,4612,2025-06-28,2025-11-09
Soybeans,South,Loam,Conservation,Potassium-based,49.98,4.26,212.91,1052.5,4859,2025-04-20,2025-10-06
Rice,North,Peat,Organic,Phosphorus-based,136.71,5.93,810.69,398.2,3591,2025-04-01,2025-09-27
Corn,East,Loam,Conservation,Nitrogen-based,23.65,1.92,45.41,1074.4,3811,2025-04-19,2025-08-19
Soybeans,East,Silt,Organic,None,319.37,6.22,1986.48,552.5,3788,2025-04-10,2025-08-08
Barley,Midwest,Silt,Organic,None,218.94,7.56,1655.19,922.7,1479,2025-05-05,2025-09-18
Wheat,Midwest,Clay,Organic,Phosphorus-based,278.59,7.49,2086.64,519.2,4343,2025-03-25,2025-06-28
Barley,North,Clay,Conventional,Compost,95.58,4.99,476.94,1105.9,2145,2025-06-24,2025-12-02
Rice,North,Clay,Organic,Nitrogen-based,155.01,4.81,745.6,326.6,3148,2025-06-16,2025-11-23
Barley,West,Silt,Organic,None,335.27,2.62,878.41,378.5,1488,2025-04-30,2025-08-31
Wheat,Midwest,Loam,Organic,None,483.0,5.35,2584.05,693.0,501,2025-05-05,2025-09-24
Rice,South,Loam,Conservation,Compost,34.7,2.54,88.14,281.9,2753,2025-04-11,2025-07-23
Barley,East,Clay,Organic,Phosphorus-based,446.29,9.55,4262.07,396.0,4424,2025-05-04,2025-08-17
Rice,North,Peat,Conservation,Nitrogen-based,292.67,11.65,3409.61,1143.8,4023,2025-04-05,2025-08-15
Corn,East,Loam,Organic,Phosphorus-based,286.32,11.69,3347.08,1176.5,367,2025-06-29,2025-12-08
Corn,East,Silt,Organic,Phosphorus-based,255.14,10.58,2699.38,576.3,4321,2025-05-15,2025-10-25
Barley,West,Sandy,Conventional,Nitrogen-based,44.0,7.81,343.64,1123.3,1825,2025-03-09,2025-08-26
Rice,Midwest,Sandy,Conservation,Nitrogen-based,54.04,8.86,478.79,744.8,1212,2025-04-05,2025-07-15
Wheat,North,Sandy,Organic,None,304.45,4.49,1366.98,469.7,2775,2025-06-13,2025-11-19
Barley,East,Peat,Conservation,None,177.07,8.12,1437.81,902.4,4884,2025-05-31,2025-09-16
Corn,North,Clay,Conservation,Nitrogen-based,459.46,6.28,2885.41,858.9,1380,2025-04-07,2025-08-15
Corn,South,Silt,Mixed,Potassium-based,209.23,6.56,1372.55,1189.1,1332,2025-04-02,2025-08-22
Barley,West,Peat,Conventional,None,80.21,9.46,758.79,465.0,4476,2025-04-11,2025-08-07
Rice,South,Silt,Conventional,Potassium-based,360.21,4.46,1606.54,872.1,4638,2025-04-30,2025-10-06
Corn,North,Silt,Conventional,Nitrogen-based,153.74,4.84,744.1,252.0,1963,2025-04-15,2025-09-10
Rice,North,Clay,Mixed,None,267.48,11.21,2998.45,313.6,4584,2025-05-25,2025-11-19
Corn,Midwest,Sandy,Mixed,Phosphorus-based,351.94,2.09,735.55,203.9,716,2025-05-28,2025-10-28
Corn,East,Clay,Conventional,Nitrogen-based,451.13,6.6,2977.46,1199.5,246,2025-04-30,2025-08-21
Soybeans,East,Peat,Mixed,Compost,398.17,11.08,4411.72,1002.3,4716,2025-03-18,2025-09-12
Corn,South,Peat,Mixed,Potassium-based,341.42,7.91,2700.63,986.7,4825,2025-05-09,2025-08-22
Wheat,West,Peat,Mixed,Nitrogen-based,343.02,7.24,2483.46,709.7,3777,2025-05-21,2025-10-09
Barley,East,Clay,Conventional,Nitrogen-based,473.5,4.12,1950.82,500.1,388,2025-06-24,2025-12-10
Barley,Midwest,Silt,Conventional,None,154.95,5.1,790.24,351.3,1509,2025-05-19,2025-08-22
Rice,South,Silt,Conventional,None,10.54,10.45,110.14,484.7,113,2025-03-15,2025-07-19
Corn,South,Loam,Mixed,None,143.26,7.37,1055.83,576.0,356,2025-04-17,2025-10-08
Wheat,Midwest,Peat,Conventional,Compost,116.77,6.9,805.71,956.3,1821,2025-05-11,2025-08-12
Rice,West,Silt,Mixed,None,334.3,2.55,852.46,739.7,1523,2025-03-13,2025-07-18
Soybeans,Midwest,Loam,Organic,Nitrogen-based,320.52,1.67,535.27,277.5,3090,2025-06-27,2025-11-04
Rice,West,Silt,Mixed,None,300.8,11.62,3495.3,218.0,1295,2025-04-12,2025-09-29
Rice,Midwest,Peat,Conservation,Phosphorus-based,17.96,5.46,98.06,302.3,4659,2025-04-29,2025-08-10
Corn,Midwest,Sandy,Conventional,None,367.1,7.83,2874.39,610.5,4465,2025-04-26,2025-10-03
Soybeans,North,Peat,Conventional,Compost,168.53,2.34,394.36,1133.2,1344,2025-05-10,2025-11-01
Rice,South,Clay,Conservation,Phosphorus-based,335.88,8.67,2912.08,837.4,3323,2025-03-17,2025-08-04
Wheat,Midwest,Silt,Mixed,Nitrogen-based,282.72,11.29,3191.91,1001.8,3570,2025-04-19,2025-09-20
Wheat,Midwest,Silt,Organic,Nitrogen-based,177.94,7.54,1341.67,666.4,4267,2025-04-01,2025-08-20
Barley,East,Clay,Conservation,Potassium-based,75.94,2.82,214.15,561.7,4069,2025-03-22,2025-07-19
Soybeans,South,Clay,Conservation,Phosphorus-based,56.27,7.61,428.21,308.4,1406,2025-04-24,2025-09-17
Soybeans,East,Sandy,Mixed,Potassium-based,417.44,9.55,3986.55,1075.9,2221,2025-06-23,2025-12-08
Barley,South,Silt,Conventional,Phosphorus-based,460.01,5.77,2654.26,983.2,2502,2025-04-26,2025-10-14
Rice,East,Silt,Mixed,Phosphorus-based,328.4,10.74,3527.02,368.1,596,2025-03-13,2025-07-10
Soybeans,Midwest,Sandy,Conservation,Compost,60.68,8.31,504.25,712.3,3499,2025-04-16,2025-08-25
Wheat,Midwest,Loam,Conservation,Potassium-based,206.99,10.94,2264.47,687.4,3706,2025-05-26,2025-09-03
Wheat,North,Sandy,Conventional,Compost,367.18,8.05,2955.8,825.1,1009,2025-05-01,2025-08-25
Corn,East,Peat,Conventional,Phosphorus-based,392.11,2.88,1129.28,1146.2,472,2025-04-23,2025-08-14
Soybeans,West,Silt,Conventional,Nitrogen-based,67.93,4.75,322.67,779.8,4557,2025-03-29,2025-08-04
Rice,North,Clay,Mixed,Phosphorus-based,10.02,3.62,36.27,740.2,1444,2025-03-22,2025-08-30
Barley,East,Peat,Conventional,Compost,358.95,11.04,3962.81,250.3,423,2025-05-04,2025-08-19
Barley,East,Silt,Conservation,Potassium-based,184.73,9.48,1751.24,262.9,2531,2025-03-29,2025-09-11
Rice,North,Sandy,Conservation,Potassium-based,134.7,8.6,1158.42,387.3,4770,2025-04-17,2025-08-29
Corn,Midwest,Peat,Organic,Compost,16.32,4.66,76.05,232.5,4931,2025-03-05,2025-08-29
Barley,East,Silt,Mixed,Potassium-based,274.75,3.43,942.39,943.4,2884,2025-04-04,2025-09-27
Soybeans,Midwest,Loam,Organic,None,427.06,9.44,4031.45,923.3,2493,2025-06-27,2025-10-06
Corn,North,Loam,Conservation,Nitrogen-based,479.24,6.48,3105.48,336.1,4020,2025-05-13,2025-09-28
Soybeans,Midwest,Clay,Organic,Nitrogen-based,287.22,3.87,1111.54,1036.1,1315,2025-05-22,2025-09-19
Wheat,South,Silt,Conservation,Nitrogen-based,262.09,7.97,2088.86,354.8,1795,2025-06-09,2025-09-28
Corn,West,Loam,Organic,Potassium-based,51.68,1.92,99.23,501.2,2007,2025-05-10,2025-09-20
Barley,East,Sandy,Conventional,Potassium-based,278.95,4.92,1372.43,449.0,4914,2025-04-15,2025-09-15
Corn,West,Silt,Organic,Phosphorus-based,196.19,6.42,1259.54,572.3,880,2025-04-04,2025-09-17
Corn,Midwest,Sandy,Conventional,Phosphorus-based,307.5,3.05,937.88,454.7,1119,2025-04-14,2025-08-06
Corn,East,Sandy,Conventional,Nitrogen-based,200.48,11.84,2373.68,689.0,3365,2025-03-13,2025-07-31
Corn,Midwest,Loam,Mixed,None,127.75,3.7,472.68,607.4,1503,2025-03-10,2025-06-14
Soybeans,South,Silt,Conventional,Phosphorus-based,56.53,2.87,162.24,1186.6,1526,2025-05-05,2025-08-08
Wheat,North,Peat,Conventional,Phosphorus-based,164.31,3.64,598.09,255.9,763,2025-05-09,2025-08-30
Rice,East,Loam,Organic,Potassium-based,57.36,9.58,549.51,342.2,2747,2025-05-11,2025-08-27
Corn,South,Loam,Conservation,None,96.68,5.97,577.18,252.8,110,2025-06-08,2025-11-27
Barley,South,Silt,Mixed,Nitrogen-based,493.79,7.44,3673.8,825.8,1138,2025-03-25,2025-07-01
Corn,East,Silt,Conventional,Phosphorus-based,227.61,1.72,391.49,254.5,2925,2025-04-13,2025-08-16
Barley,Midwest,Sandy,Mixed,None,270.62,1.86,503.35,1036.4,3103,2025-04-29,2025-09-05
Soybeans,South,Silt,Organic,None,438.07,6.18,2707.27,711.9,4780,2025-04-16,2025-08-07
Barley,West,Sandy,Conventional,Nitrogen-based,497.83,10.07,5013.15,727.0,1175,2025-04-09,2025-08-24
Rice,South,Loam,Organic,None,295.53,10.8,3191.72,761.6,3188,2025-03-07,2025-08-06
Wheat,Midwest,Clay,Mixed,None,408.11,2.41,983.55,370.8,1889,2025-04-15,2025-09-20
Barley,Midwest,Peat,Organic,None,170.2,7.15,1216.93,397.7,3136,2025-03-23,2025-08-12
Barley,West,Loam,Mixed,Phosphorus-based,159.81,11.09,1772.29,518.8,4938,2025-05-22,2025-10-12
Wheat,South,Silt,Organic,Nitrogen-based,207.32,5.57,1154.77,793.5,3753,2025-04-15,2025-08-24
Rice,Midwest,Peat,Mixed,None,339.53,10.21,3466.6,410.1,3275,2025-05-25,2025-10-06
Corn,East,Clay,Conservation,None,344.27,2.9,998.38,316.3,4399,2025-03-13,2025-09-08
Barley,North,Clay,Organic,Phosphorus-based,164.47,11.32,1861.8,1170.1,1176,2025-03-21,2025-07-02
Wheat,North,Sandy,Organic,Nitrogen-based,75.27,9.39,706.79,222.0,1073,2025-03-01,2025-06-27
Soybeans,North,Peat,Conservation,Potassium-based,319.87,11.38,3640.12,1002.7,1965,2025-03-19,2025-06-22
Wheat,South,Sandy,Conservation,Phosphorus-based,72.88,8.6,626.77,988.0,3225,2025-04-29,2025-08-03
Soybeans,West,Loam,Organic,Nitrogen-based,293.46,5.32,1561.21,497.2,1399,2025-04-02,2025-08-06
Rice,Midwest,Peat,Conservation,None,349.78,11.35,3970.0,335.6,3506,2025-03-04,2025-07-24
Corn,East,Loam,Conventional,Nitrogen-based,353.3,4.39,1550.99,345.6,1258,2025-06-14,2025-09-29
Wheat,East,Sandy,Mixed,Nitrogen-based,379.2,4.99,1892.21,897.4,3229,2025-03-03,2025-08-26
Barley,South,Peat,Mixed,Nitrogen-based,437.7,8.86,3878.02,842.8,204,2025-05-30,2025-10-04
