Shipment_Status,Transport_Mode,Package_Type,Delivery_Region,Payment_Status,Shipment_ID,Package_Weight_kg,Shipping_Cost,Delivery_Distance_km,Quantity,Order_Date,Delivery_Date
Delivered,Airplane,Crate,International,Paid,8015,75.8,812.61,4164,744,1/22/2021,1/31/2020
In Transit,Airplane,Box,International,Pending,6222,10.8,29.98,3922,382,9/5/2020,5/1/2020
Delayed,Train,Pallet,National,Overdue,9204,65.1,684.02,1807,269,5/11/2021,3/2/2020
In Transit,Airplane,Envelope,Local,Pending,9168,88.2,999.84,2230,435,12/7/2021,6/11/2021
Delivered,Truck,Crate,International,Paid,9342,66.9,622.61,2222,350,3/17/2020,8/10/2022
In Transit,Train,Envelope,International,Pending,2847,19.6,812.19,3229,368,12/21/2021,11/2/2021
In Transit,Truck,Box,International,Overdue,9573,50.3,648.42,2081,369,7/21/2021,1/19/2022
Delivered,Truck,Crate,National,Pending,4826,45.8,722.31,2367,969,4/23/2022,2/13/2021
Delayed,Airplane,Envelope,National,Pending,3105,22.7,0.84,2730,557,9/7/2022,12/5/2022
Out for Delivery,Airplane,Envelope,International,Overdue,2529,46.3,982.95,4097,159,5/12/2021,6/12/2022
Out for Delivery,Ship,Pallet,International,Overdue,7021,74.3,5.72,4136,858,11/11/2021,2/27/2020
In Transit,Ship,Envelope,Local,Overdue,2294,85.9,60.12,2577,956,9/4/2022,11/15/2022
In Transit,Truck,Envelope,National,Pending,5958,29.5,975.91,2536,706,11/11/2021,1/15/2020
Delivered,Airplane,Envelope,National,Pending,8485,57.1,102.31,3371,978,3/11/2020,3/10/2020
In Transit,Ship,Pallet,International,Pending,2773,89.4,867.35,1958,600,1/12/2021,6/12/2022
Out for Delivery,Truck,Box,Local,Paid,6101,70.4,268.73,2933,283,5/3/2021,1/25/2020
Delivered,Truck,Pallet,National,Pending,4833,48.3,692.91,2174,673,4/25/2021,5/13/2022
Delivered,Airplane,Pallet,National,Overdue,1673,0.6,335.44,4844,785,10/27/2021,2/15/2021
Delayed,Ship,Crate,International,Pending,3098,60.3,172.36,3019,131,12/10/2021,7/1/2020
Delayed,Train,Crate,International,Pending,5346,0.1,633.12,4959,689,7/10/2020,1/22/2020
In Transit,Airplane,Pallet,Local,Overdue,8712,43.7,596.0,3028,261,12/4/2022,2/17/2020
Delayed,Ship,Crate,National,Overdue,4681,24.9,125.68,3680,340,7/29/2021,7/16/2020
Out for Delivery,Train,Envelope,Local,Paid,5245,61.2,441.1,4341,963,7/17/2022,2/25/2020
In Transit,Truck,Crate,National,Paid,7231,73.9,25.07,4250,11,8/17/2022,12/16/2022
Delivered,Train,Pallet,National,Paid,6104,85.7,511.16,1577,254,1/27/2021,1/14/2022
Out for Delivery,Train,Pallet,Local,Overdue,5098,62.8,777.12,3857,78,1/19/2020,9/30/2021
Delayed,Train,Box,Local,Overdue,1359,12.2,952.97,2598,913,3/4/2022,4/15/2022
Delayed,Airplane,Envelope,International,Paid,4092,9.2,133.39,4428,395,4/28/2021,8/22/2021
In Transit,Airplane,Envelope,National,Paid,4025,43.2,397.95,3777,807,4/23/2021,11/30/2021
Delivered,Ship,Pallet,International,Overdue,8759,46.2,547.31,1206,502,9/23/2021,5/12/2021
Out for Delivery,Airplane,Pallet,National,Paid,9435,55.2,30.57,2096,471,4/30/2020,12/1/2021
Delivered,Airplane,Envelope,Local,Pending,7389,65.7,376.51,1414,66,8/21/2022,3/13/2022
In Transit,Ship,Envelope,Local,Overdue,2818,94.9,516.28,378,327,7/24/2021,11/23/2020
In Transit,Truck,Crate,International,Overdue,1421,2.6,821.42,1549,298,10/3/2021,7/16/2021
Out for Delivery,Ship,Crate,National,Overdue,9334,69.6,596.73,3228,506,9/11/2022,3/13/2021
Delayed,Train,Pallet,National,Paid,5398,91.0,156.76,3664,150,5/9/2021,2/23/2021
Delivered,Train,Box,Local,Overdue,9696,35.3,316.13,681,314,1/13/2022,9/28/2021
Delayed,Truck,Crate,National,Pending,5241,69.7,602.62,157,931,6/6/2021,11/19/2020
In Transit,Truck,Crate,International,Overdue,9778,34.2,694.39,118,735,4/8/2022,8/29/2021
Delivered,Train,Box,National,Paid,5268,48.6,249.03,1162,188,5/24/2022,9/18/2021
Delayed,Truck,Box,National,Pending,1895,95.1,825.52,3721,795,2/22/2020,3/11/2021
Delivered,Truck,Pallet,National,Pending,3234,66.2,997.52,4661,339,6/15/2020,5/2/2022
Delayed,Ship,Pallet,Local,Pending,5393,1.0,636.47,3530,969,1/9/2021,8/17/2022
Out for Delivery,Airplane,Pallet,National,Pending,7470,35.4,954.05,3823,209,2/15/2020,4/19/2021
Out for Delivery,Ship,Pallet,Local,Overdue,5342,78.6,674.16,2805,513,10/1/2021,5/25/2020
Delivered,Truck,Pallet,Local,Paid,4397,38.0,3.43,4260,233,2/21/2022,4/21/2020
Out for Delivery,Ship,Pallet,National,Overdue,6007,49.2,788.11,3626,181,10/31/2020,4/14/2022
Delayed,Ship,Crate,National,Paid,3144,2.7,727.73,4265,144,5/20/2022,6/30/2020
Delivered,Airplane,Box,International,Paid,4247,16.8,14.61,4932,1000,7/26/2021,2/1/2022
Delayed,Ship,Pallet,International,Pending,5548,40.9,920.06,1813,42,10/1/2021,3/20/2022
Delivered,Train,Pallet,Local,Pending,6035,91.8,168.11,4973,4,4/30/2021,8/5/2020
Delivered,Train,Crate,International,Overdue,5202,35.0,886.61,3847,470,7/14/2020,2/10/2020
Delivered,Truck,Crate,Local,Pending,4523,96.2,470.38,2970,533,3/4/2021,1/27/2022
Out for Delivery,Ship,Pallet,National,Pending,4546,37.8,173.86,3780,847,11/11/2021,10/26/2021
Out for Delivery,Airplane,Box,International,Overdue,7602,26.0,381.17,19,408,12/14/2020,12/4/2021
In Transit,Ship,Crate,National,Overdue,8904,72.9,616.3,4080,924,2/26/2021,6/18/2021
Out for Delivery,Airplane,Pallet,National,Overdue,3890,27.0,314.9,4803,511,1/14/2021,7/24/2020
In Transit,Truck,Pallet,Local,Paid,5188,73.1,78.85,1351,727,11/8/2020,11/30/2022
In Transit,Ship,Envelope,International,Paid,6581,3.1,739.27,4487,731,3/18/2022,8/10/2020
Delivered,Airplane,Box,Local,Pending,5509,45.4,127.52,2897,310,5/28/2022,12/18/2020
Delayed,Ship,Box,Local,Overdue,3734,62.9,533.22,4297,923,7/24/2021,2/29/2020
Delivered,Truck,Pallet,National,Overdue,3215,84.1,243.63,1927,195,12/9/2022,11/30/2020
Delayed,Truck,Envelope,National,Pending,6661,94.9,169.53,4414,377,7/5/2020,12/2/2021
Delivered,Airplane,Envelope,Local,Paid,9360,20.4,708.07,1020,987,6/4/2022,2/9/2020
In Transit,Train,Box,International,Paid,5335,26.2,168.85,2888,487,4/17/2022,4/19/2020
Out for Delivery,Truck,Box,Local,Paid,8555,24.2,734.38,2181,768,1/31/2021,2/3/2020
Delayed,Ship,Envelope,National,Pending,6942,74.4,345.0,1838,172,4/8/2021,4/10/2020
Out for Delivery,Train,Envelope,Local,Pending,7207,57.2,65.24,3826,630,11/7/2021,5/3/2021
In Transit,Airplane,Crate,Local,Overdue,6569,82.4,173.15,4767,630,12/17/2022,3/22/2021
Delayed,Train,Pallet,National,Pending,8465,50.4,198.31,2310,244,6/18/2021,5/1/2021
In Transit,Ship,Crate,National,Overdue,8378,34.4,994.73,1247,830,11/14/2020,9/5/2021
Delivered,Truck,Crate,Local,Paid,5570,35.1,52.72,3461,437,4/12/2022,7/18/2022
Delivered,Airplane,Pallet,International,Paid,3005,6.2,376.37,4569,829,2/14/2020,12/2/2021
In Transit,Truck,Crate,International,Pending,8340,96.5,580.75,1374,806,7/28/2022,12/7/2020
Out for Delivery,Truck,Pallet,Local,Pending,3086,26.2,379.77,2044,906,2/23/2022,1/13/2021
Delivered,Truck,Crate,Local,Paid,8466,72.0,218.38,3918,914,1/30/2021,11/13/2020
Out for Delivery,Train,Envelope,Local,Paid,7772,10.2,743.24,2501,13,3/2/2021,11/9/2021
Out for Delivery,Ship,Box,Local,Paid,6384,62.8,45.5,1452,505,1/3/2021,9/26/2021
Out for Delivery,Airplane,Crate,Local,Overdue,4021,54.9,913.61,2962,742,8/15/2022,11/3/2020
Delivered,Train,Envelope,Local,Paid,6643,38.7,740.44,424,711,12/20/2022,10/12/2021
Delayed,Train,Crate,National,Pending,5497,59.6,628.61,4346,841,3/25/2020,3/1/2021
Out for Delivery,Train,Envelope,Local,Paid,2576,39.2,838.74,2461,980,7/12/2020,2/12/2022
Out for Delivery,Truck,Pallet,Local,Paid,6478,97.0,721.14,3639,738,8/22/2021,10/27/2021
Out for Delivery,Airplane,Pallet,National,Pending,7630,69.5,587.51,3411,710,12/25/2021,3/3/2020
Delivered,Ship,Pallet,International,Paid,5362,5.9,437.69,1875,129,4/19/2022,7/13/2021
Delayed,Train,Pallet,National,Paid,9199,22.5,727.07,3379,260,3/20/2021,8/15/2022
Delayed,Train,Pallet,International,Paid,9311,95.9,881.78,3559,560,4/14/2022,9/27/2022
Delayed,Ship,Pallet,Local,Paid,9977,60.2,717.82,2830,754,10/31/2022,6/12/2020
In Transit,Ship,Crate,International,Pending,1395,22.2,695.2,2978,776,2/21/2020,12/13/2022
Out for Delivery,Train,Pallet,International,Paid,3353,70.8,649.55,4713,785,7/23/2020,4/12/2021
Delayed,Truck,Crate,National,Pending,2243,92.0,504.31,3869,954,2/11/2021,4/24/2020
Out for Delivery,Truck,Pallet,Local,Overdue,2935,78.7,940.31,1086,864,7/5/2020,10/22/2022
In Transit,Ship,Pallet,National,Paid,1575,40.0,58.45,1444,321,3/15/2020,5/28/2021
In Transit,Truck,Pallet,Local,Overdue,4993,87.9,997.71,4641,447,8/1/2021,6/14/2020
Delivered,Airplane,Crate,International,Overdue,7245,66.0,615.54,2459,526,8/2/2022,2/28/2020
In Transit,Truck,Envelope,National,Pending,5046,5.7,314.31,742,440,1/26/2022,8/6/2020
Delivered,Airplane,Envelope,Local,Paid,8873,34.2,641.68,4626,11,4/5/2022,11/16/2022
In Transit,Truck,Pallet,Local,Pending,8524,32.1,12.98,833,316,11/5/2022,1/18/2020
Delayed,Ship,Box,National,Paid,3020,99.7,67.46,3262,580,8/2/2022,3/11/2022
In Transit,Airplane,Crate,International,Paid,3074,41.0,891.97,1554,655,7/22/2020,5/17/2022
Delayed,Truck,Crate,National,Overdue,1382,18.4,516.53,4459,155,1/13/2020,3/10/2020
Delivered,Airplane,Crate,International,Pending,8254,70.9,793.15,2505,946,10/14/2022,2/22/2020
Out for Delivery,Ship,Pallet,Local,Overdue,4946,33.2,387.02,714,668,10/19/2021,3/22/2020
In Transit,Airplane,Envelope,National,Paid,7186,71.8,241.55,1473,991,2/24/2020,5/10/2020
Delayed,Truck,Envelope,Local,Overdue,1746,16.6,340.66,1561,377,9/7/2020,1/13/2022
Delivered,Ship,Box,National,Paid,9701,13.8,83.03,4882,949,10/6/2021,10/17/2021
Out for Delivery,Ship,Crate,National,Overdue,8183,17.6,839.77,4858,305,12/1/2021,4/9/2022
In Transit,Truck,Crate,International,Pending,4648,96.6,946.57,3007,236,8/6/2021,5/7/2022
Delayed,Ship,Pallet,International,Pending,9387,10.4,868.8,4521,969,10/25/2020,5/13/2020
Out for Delivery,Train,Envelope,Local,Overdue,7299,53.4,722.79,1469,3,3/9/2020,12/23/2020
Delayed,Truck,Envelope,National,Pending,6265,65.9,526.76,4326,233,1/5/2022,11/15/2021
Out for Delivery,Ship,Box,International,Overdue,3385,83.1,10.4,1838,401,4/3/2020,12/3/2021
Out for Delivery,Train,Crate,International,Overdue,6359,9.7,291.69,1728,730,5/31/2022,7/1/2021
In Transit,Airplane,Box,Local,Paid,8441,76.5,25.25,3318,53,7/3/2021,9/8/2021
Delivered,Airplane,Crate,National,Pending,5278,73.7,793.8,3485,173,2/23/2021,4/23/2021
Delayed,Truck,Crate,International,Pending,7728,16.1,778.67,227,616,3/9/2021,3/25/2021
Out for Delivery,Train,Box,National,Pending,1953,82.0,250.68,3755,602,5/31/2020,6/17/2020
Delivered,Train,Pallet,National,Overdue,8954,48.1,908.04,4952,920,12/26/2022,7/8/2021
Delayed,Train,Envelope,National,Pending,5550,45.4,657.67,4983,935,2/12/2022,8/26/2021
Delivered,Airplane,Crate,International,Overdue,8459,25.3,425.63,1406,746,6/26/2021,1/4/2022
Delayed,Train,Box,International,Overdue,1712,50.8,566.26,2397,621,9/29/2020,7/4/2022
Delayed,Truck,Pallet,Local,Pending,3580,77.1,829.79,1714,478,10/19/2022,6/23/2021
Delivered,Truck,Pallet,National,Overdue,7237,42.7,762.05,4954,881,4/16/2020,2/20/2022
Delayed,Train,Box,Local,Overdue,5788,8.7,460.96,1295,854,8/28/2020,6/26/2022
Delayed,Truck,Box,Local,Overdue,5278,50.7,556.31,4531,934,1/26/2022,12/1/2021
Delivered,Ship,Pallet,National,Paid,2408,50.2,791.19,2373,683,3/27/2022,7/13/2022
Delayed,Train,Envelope,Local,Pending,6162,27.1,746.85,2270,285,9/12/2020,8/21/2020
Out for Delivery,Airplane,Crate,Local,Paid,2997,3.1,259.85,13,834,8/31/2021,11/2/2021
In Transit,Ship,Crate,International,Paid,1955,71.0,924.77,1107,608,12/3/2021,3/14/2022
In Transit,Ship,Crate,Local,Paid,1550,45.3,385.13,1088,297,10/7/2021,11/23/2022
Out for Delivery,Ship,Pallet,National,Paid,7884,39.8,320.14,1540,393,7/4/2020,3/30/2022
Out for Delivery,Truck,Box,National,Paid,3205,19.5,498.74,291,676,3/31/2021,9/2/2020
In Transit,Truck,Envelope,National,Pending,3785,40.8,13.8,4226,526,6/26/2022,3/7/2022
In Transit,Airplane,Crate,Local,Paid,9256,99.8,838.06,4511,515,8/21/2021,11/29/2020
Delivered,Truck,Crate,National,Paid,1491,20.7,637.8,2073,308,1/17/2021,6/14/2022
Out for Delivery,Truck,Envelope,Local,Pending,4915,32.9,991.15,3543,204,6/8/2021,2/18/2021
Out for Delivery,Truck,Envelope,International,Overdue,6262,74.1,395.93,1039,231,8/19/2022,7/29/2021
Delivered,Truck,Envelope,International,Overdue,8981,0.9,547.5,593,462,11/9/2022,12/2/2022
Delivered,Truck,Envelope,National,Overdue,6836,36.0,552.9,4187,983,10/2/2022,12/17/2022
Delivered,Truck,Envelope,International,Paid,4470,26.0,429.42,3986,632,4/27/2022,5/8/2020
In Transit,Airplane,Crate,National,Overdue,6090,77.2,358.01,4539,632,9/22/2021,8/21/2022
Delayed,Ship,Envelope,International,Overdue,4096,90.2,532.47,3135,664,11/25/2021,6/13/2022
Delayed,Airplane,Box,International,Paid,7148,84.1,956.19,192,997,8/14/2020,3/20/2022
Out for Delivery,Train,Crate,National,Paid,1402,70.5,371.53,2000,180,5/19/2022,5/1/2022
Delivered,Airplane,Crate,International,Paid,7480,29.8,373.9,1727,4,2/8/2022,1/28/2021
Delivered,Ship,Pallet,Local,Overdue,8534,29.8,882.86,2357,407,6/8/2022,4/22/2020
Out for Delivery,Truck,Crate,Local,Overdue,3977,81.0,974.42,846,771,7/26/2022,1/23/2020
Delayed,Train,Envelope,Local,Paid,6100,83.3,955.4,20,103,5/7/2020,10/24/2021
Delayed,Train,Pallet,Local,Overdue,9830,9.3,816.99,3434,980,7/9/2020,10/26/2021
Out for Delivery,Airplane,Envelope,National,Paid,9996,19.1,935.9,2411,392,12/24/2020,4/7/2021
Delivered,Ship,Envelope,International,Overdue,5648,16.7,591.77,98,305,12/12/2022,12/27/2020
In Transit,Train,Crate,National,Paid,1866,83.6,827.21,2440,392,7/16/2020,12/18/2021
Delivered,Truck,Envelope,National,Pending,5045,91.5,113.43,4158,167,5/6/2020,5/24/2022
Delivered,Train,Crate,Local,Overdue,4567,17.9,156.7,2158,903,1/16/2020,10/24/2020
Out for Delivery,Airplane,Pallet,National,Overdue,5692,87.3,895.52,2289,253,8/26/2022,8/5/2021
Out for Delivery,Truck,Pallet,Local,Pending,6008,75.4,789.53,3017,8,3/11/2020,2/21/2021
In Transit,Truck,Crate,Local,Pending,8654,16.6,684.32,3834,741,2/26/2020,9/26/2020
Delayed,Airplane,Box,Local,Overdue,1793,8.1,109.93,880,193,12/7/2020,8/29/2022
Out for Delivery,Ship,Envelope,International,Overdue,9496,52.3,263.47,115,903,9/27/2020,11/13/2022
Delivered,Truck,Crate,Local,Overdue,8343,74.1,517.9,317,486,6/3/2022,4/21/2022
Delayed,Airplane,Crate,International,Paid,5891,79.4,672.57,4671,236,3/7/2021,11/17/2022
Delivered,Truck,Crate,International,Pending,2697,38.2,118.06,1997,43,6/24/2021,11/12/2022
In Transit,Ship,Crate,National,Paid,1391,70.8,599.36,3561,773,5/22/2022,12/6/2020
Delayed,Ship,Pallet,Local,Paid,7104,83.1,344.97,1180,212,10/15/2022,2/18/2022
Delayed,Ship,Envelope,International,Paid,1698,95.5,587.92,3448,427,12/26/2022,9/6/2021
In Transit,Airplane,Envelope,International,Paid,2114,73.5,545.83,1987,680,12/3/2021,8/8/2020
In Transit,Train,Pallet,International,Paid,1364,19.6,579.32,1144,243,12/8/2021,11/24/2021
Delivered,Ship,Pallet,Local,Paid,4255,23.6,911.24,3253,137,11/25/2020,5/10/2022
Out for Delivery,Airplane,Box,International,Pending,4316,43.8,743.67,2990,740,8/19/2020,9/19/2020
Out for Delivery,Train,Crate,Local,Overdue,1919,56.7,246.98,3917,431,4/28/2022,1/7/2020
Delivered,Truck,Envelope,National,Overdue,4397,25.9,972.84,2225,930,6/25/2022,10/22/2020
Out for Delivery,Train,Envelope,International,Overdue,5751,13.2,840.87,1542,140,8/30/2020,10/11/2022
In Transit,Ship,Box,National,Pending,1274,0.5,524.41,1444,217,5/15/2022,5/3/2021
Delivered,Truck,Box,Local,Overdue,4770,9.4,34.54,2265,992,10/10/2021,3/18/2022
In Transit,Train,Crate,International,Paid,8306,48.1,37.61,2638,914,10/15/2021,1/31/2020
In Transit,Truck,Pallet,International,Paid,2796,91.4,678.4,4739,436,4/19/2021,1/25/2021
Out for Delivery,Ship,Pallet,Local,Overdue,1490,19.8,201.66,3590,752,6/15/2022,11/27/2020
In Transit,Airplane,Envelope,National,Pending,9277,98.4,109.61,3534,796,12/13/2020,12/21/2022
Delivered,Truck,Envelope,International,Overdue,9937,33.4,334.43,3643,556,7/18/2020,8/16/2021
Delayed,Train,Pallet,National,Pending,6489,51.8,485.77,2925,926,4/20/2020,7/25/2020
Delayed,Airplane,Envelope,International,Pending,9627,6.1,957.2,2070,796,1/26/2022,4/16/2021
Delivered,Train,Envelope,International,Paid,3200,8.9,972.08,3355,600,1/14/2022,1/3/2020
Delayed,Airplane,Crate,International,Pending,9518,87.0,828.5,2926,60,6/22/2021,11/21/2022
Delayed,Ship,Box,National,Pending,3593,38.5,656.69,623,472,11/26/2022,1/5/2022
In Transit,Truck,Crate,National,Pending,7055,25.9,257.43,4361,74,1/20/2022,1/19/2022
Delayed,Airplane,Crate,National,Overdue,6057,65.8,167.19,3357,781,11/9/2020,9/17/2022
Delayed,Truck,Crate,Local,Paid,1818,86.0,106.07,2868,490,10/13/2021,11/1/2022
Out for Delivery,Truck,Crate,Local,Paid,4874,57.8,563.92,1897,217,10/8/2021,9/7/2022
Delivered,Ship,Box,Local,Pending,9426,61.6,893.62,4509,236,11/14/2020,8/10/2020
Delivered,Ship,Envelope,Local,Overdue,7799,31.3,977.79,4865,361,4/28/2021,11/2/2021
Out for Delivery,Ship,Pallet,International,Overdue,6296,91.8,837.06,850,931,5/27/2021,7/20/2022
Delivered,Train,Pallet,International,Pending,2299,67.8,390.35,2546,670,10/24/2020,8/2/2020
Delivered,Truck,Envelope,Local,Overdue,8946,56.8,841.94,3977,375,3/9/2020,9/6/2022
Out for Delivery,Ship,Crate,International,Overdue,5683,57.9,247.74,4622,286,1/27/2020,9/28/2021
Out for Delivery,Airplane,Pallet,Local,Paid,8802,15.0,480.69,790,10,5/10/2020,3/21/2020
In Transit,Ship,Pallet,National,Pending,1803,48.4,60.42,1604,126,6/19/2021,8/13/2021
In Transit,Ship,Pallet,Local,Overdue,3773,46.7,603.78,301,335,6/18/2020,3/17/2021
In Transit,Ship,Box,International,Pending,5694,69.4,233.14,1520,949,4/16/2021,7/12/2020
Out for Delivery,Airplane,Envelope,Local,Pending,2795,20.9,165.19,2896,894,3/1/2020,9/13/2020
Delayed,Airplane,Crate,National,Pending,1395,97.4,913.85,2918,598,8/17/2020,6/4/2022
In Transit,Train,Box,Local,Overdue,7591,20.6,981.49,2667,829,4/29/2020,11/11/2021
In Transit,Train,Pallet,International,Paid,1341,55.8,285.86,3935,690,3/13/2020,7/30/2022
Out for Delivery,Truck,Envelope,Local,Overdue,3944,10.7,22.71,2572,630,6/1/2022,1/5/2020
Delayed,Airplane,Envelope,International,Overdue,4799,32.7,512.71,4277,322,12/15/2021,4/2/2021
In Transit,Airplane,Crate,National,Pending,4238,61.0,5.97,3399,376,1/21/2022,5/21/2020
In Transit,Ship,Pallet,International,Overdue,4339,93.7,595.87,3971,898,4/13/2020,4/23/2022
Delayed,Ship,Box,Local,Pending,9600,93.2,605.38,3424,359,7/11/2021,10/24/2021
Delayed,Ship,Crate,Local,Pending,6884,50.6,821.0,2459,546,10/2/2021,2/9/2020
In Transit,Train,Pallet,International,Overdue,6073,38.3,55.17,4299,847,3/10/2022,2/7/2020
In Transit,Train,Crate,International,Paid,8091,19.7,637.3,4611,544,6/19/2021,2/4/2022
Delivered,Truck,Envelope,National,Paid,9808,24.5,451.92,675,735,10/4/2020,7/10/2022
Delayed,Truck,Crate,International,Paid,4757,86.2,919.55,4445,439,1/21/2021,5/12/2021
Out for Delivery,Airplane,Crate,Local,Paid,8242,42.8,333.69,4036,823,4/28/2021,11/2/2021
In Transit,Airplane,Box,National,Overdue,6210,9.5,20.73,3538,719,9/12/2020,5/4/2021
Delayed,Airplane,Box,Local,Overdue,9230,81.8,421.86,4253,485,10/25/2022,5/22/2022
Out for Delivery,Train,Pallet,Local,Overdue,4181,34.6,341.93,3441,420,8/14/2021,2/21/2020
Out for Delivery,Airplane,Pallet,International,Paid,3200,87.5,708.25,1810,17,11/11/2022,4/17/2021
Delayed,Truck,Envelope,Local,Overdue,8335,42.8,257.51,4947,154,8/12/2022,1/24/2020
Delayed,Airplane,Envelope,Local,Overdue,5569,18.2,387.35,1167,901,11/24/2020,5/5/2022
Delayed,Truck,Crate,Local,Paid,6661,74.4,447.61,1915,291,3/6/2020,1/16/2020
Out for Delivery,Truck,Crate,International,Pending,9073,90.0,949.52,2444,781,1/18/2021,5/9/2021
Delayed,Truck,Pallet,National,Overdue,1489,31.5,177.89,3942,202,10/28/2020,5/3/2022
Delayed,Airplane,Pallet,International,Overdue,2577,68.9,673.42,871,598,9/28/2021,12/3/2021
In Transit,Train,Envelope,Local,Paid,9115,75.6,926.8,1545,288,6/21/2020,6/16/2022
Out for Delivery,Ship,Box,National,Pending,5771,91.1,602.37,3779,322,5/13/2020,4/29/2021
Delivered,Ship,Box,International,Pending,7320,38.2,793.81,1064,734,6/2/2020,3/30/2021
In Transit,Airplane,Crate,Local,Paid,6496,32.2,131.83,4472,719,8/19/2021,9/12/2021
In Transit,Ship,Box,National,Paid,8783,80.4,512.47,916,962,3/25/2021,11/26/2020
In Transit,Train,Pallet,Local,Paid,2176,86.0,639.43,3169,517,2/7/2020,8/19/2021
Delivered,Airplane,Crate,International,Paid,1280,56.1,486.69,3667,693,4/29/2022,6/19/2020
Delayed,Ship,Pallet,Local,Overdue,8981,3.5,981.38,1568,224,10/30/2022,5/7/2022
Delivered,Truck,Box,Local,Pending,7434,73.9,212.69,604,699,2/27/2021,8/19/2020
Delayed,Truck,Envelope,Local,Pending,3539,46.1,232.77,2401,354,12/15/2022,7/6/2022
In Transit,Truck,Box,Local,Overdue,1548,7.8,30.71,3498,894,12/6/2021,7/11/2020
In Transit,Airplane,Box,International,Paid,4403,16.6,320.35,3332,932,8/10/2022,12/13/2020
In Transit,Airplane,Pallet,National,Overdue,3729,22.6,402.56,1216,299,7/6/2022,10/1/2020
Out for Delivery,Train,Crate,International,Overdue,4814,65.2,768.21,2421,555,12/22/2020,5/2/2022
Delayed,Train,Box,Local,Paid,1936,5.8,625.72,3398,905,6/7/2022,5/8/2020
Out for Delivery,Train,Envelope,Local,Pending,4043,43.0,66.79,4241,748,7/19/2020,3/27/2020
Out for Delivery,Train,Crate,Local,Pending,1544,21.0,982.6,3372,826,10/30/2021,10/25/2020
Out for Delivery,Airplane,Envelope,National,Overdue,2967,0.2,946.47,214,517,12/14/2021,10/27/2020
Delivered,Ship,Crate,Local,Overdue,5985,62.5,654.76,4182,30,12/27/2022,4/2/2021
In Transit,Truck,Envelope,Local,Paid,6954,89.2,245.22,3426,643,12/2/2022,12/14/2020
In Transit,Truck,Crate,International,Overdue,2667,65.5,714.86,463,668,9/16/2020,3/6/2022
Delayed,Train,Crate,International,Paid,4146,19.4,414.33,2861,967,12/14/2021,10/31/2021
Delivered,Ship,Box,International,Pending,2721,10.7,145.0,2473,880,9/5/2022,9/21/2022
In Transit,Train,Crate,Local,Paid,5095,94.5,56.41,4365,217,8/27/2021,8/18/2020
Delayed,Ship,Pallet,National,Pending,9647,68.3,626.82,283,444,11/21/2020,12/1/2021
In Transit,Train,Crate,International,Overdue,9266,18.9,839.42,4855,18,12/19/2022,8/6/2020
Out for Delivery,Ship,Pallet,International,Paid,5139,91.1,462.43,1811,23,8/25/2022,7/26/2020
Delayed,Truck,Box,National,Pending,6436,6.4,463.29,43,610,11/13/2021,3/21/2022
Delayed,Airplane,Box,National,Paid,2311,61.5,514.6,368,391,4/15/2021,8/5/2021
Delayed,Ship,Box,International,Paid,7480,30.0,973.26,3742,275,5/5/2020,3/20/2021
Out for Delivery,Truck,Crate,Local,Pending,7641,38.9,680.04,4262,16,9/21/2022,7/25/2020
Delayed,Ship,Crate,International,Paid,8492,5.0,803.79,3721,82,4/28/2021,5/22/2022
Delivered,Airplane,Envelope,National,Overdue,3048,89.0,819.44,819,95,9/25/2020,7/26/2020
Out for Delivery,Ship,Envelope,International,Paid,4597,59.7,958.66,1802,829,5/19/2020,7/11/2021
Delivered,Airplane,Box,International,Overdue,2981,39.5,10.36,717,548,1/5/2020,1/3/2020
Delivered,Train,Crate,International,Pending,2262,27.3,54.98,4164,306,6/1/2020,8/13/2021
Out for Delivery,Ship,Crate,National,Paid,3292,52.2,793.49,1078,685,9/9/2022,1/13/2020
Delayed,Ship,Crate,International,Paid,6614,72.7,209.3,618,493,8/24/2021,3/18/2020
In Transit,Train,Envelope,National,Paid,2308,61.8,342.21,4478,836,10/18/2020,4/18/2022
Delayed,Train,Pallet,National,Paid,6914,83.3,785.25,4895,170,12/24/2022,3/28/2022
In Transit,Truck,Pallet,International,Paid,8835,65.0,191.41,2735,364,4/14/2022,4/3/2020
Out for Delivery,Ship,Crate,International,Overdue,3990,60.5,133.34,1386,94,5/10/2021,3/27/2022
Delivered,Train,Crate,National,Overdue,3913,93.8,744.55,2596,690,4/26/2020,1/30/2020
Out for Delivery,Airplane,Crate,Local,Pending,3067,88.3,929.9,4881,843,10/18/2021,10/12/2021
In Transit,Train,Crate,International,Paid,3856,6.9,583.96,2489,980,2/22/2021,12/25/2022
Delivered,Train,Crate,International,Overdue,4913,16.9,810.64,4415,911,2/16/2021,5/3/2021
Out for Delivery,Train,Envelope,International,Paid,6837,83.3,949.15,701,492,3/28/2020,9/12/2020
Delayed,Airplane,Box,National,Overdue,7770,31.6,667.66,951,502,10/5/2022,10/23/2021
Out for Delivery,Truck,Pallet,International,Paid,8820,27.4,98.89,1050,723,8/4/2022,5/9/2021
In Transit,Truck,Crate,Local,Overdue,8225,61.2,486.97,4997,680,6/13/2020,11/10/2020
Out for Delivery,Ship,Pallet,National,Overdue,3033,58.6,871.56,1601,649,9/26/2020,3/24/2020
